SessionKey,DriverNo,LapNo,LapTime,NoPits,PitIn,PitOut,PitStopDuration,Compound,TyreAge,Sector1_Time,Sector2_Time,Sector3_Time,LapStartTime,LapStartDate,Speed_I1,Speed_I2,Speed_FL,Speed_ST,TrackStatus,IsDeleted,DeletionMessage,Driver
9574.0,10,7.0,0 days 00:01:51.149000,0.0,,,,MEDIUM,6.0,0 days 00:00:31.678000,0 days 00:00:49.864000,0 days 00:00:29.607000,0 days 01:06:27.741000,2024-07-28 13:15:05.719,318,197,215,311,1,False,,[10] GAS - Alpine
9574.0,10,8.0,0 days 00:01:51.388000,0.0,,,,MEDIUM,7.0,0 days 00:00:31.603000,0 days 00:00:50.117000,0 days 00:00:29.668000,0 days 01:08:18.941000,2024-07-28 13:16:56.919,315,196,215,,1,False,,[10] GAS - Alpine
9574.0,10,9.0,0 days 00:01:56.010000,0.0,0 days 01:12:02.376000,,,MEDIUM,8.0,0 days 00:00:31.604000,0 days 00:00:50.421000,0 days 00:00:33.985000,0 days 01:10:10.291000,2024-07-28 13:18:48.269,314,198,216,312,1,False,,[10] GAS - Alpine
9574.0,10,10.0,0 days 00:02:04.826000,1.0,,0 days 01:12:25.393000,,HARD,0.0,0 days 00:00:45.688000,0 days 00:00:50.009000,0 days 00:00:29.129000,0 days 01:12:06.292000,2024-07-28 13:20:44.270,322,204,,310,1,False,,[10] GAS - Alpine
9574.0,10,11.0,0 days 00:01:49.589000,1.0,,,,HARD,1.0,0 days 00:00:31.062000,0 days 00:00:49.291000,0 days 00:00:29.236000,0 days 01:14:11.134000,2024-07-28 13:22:49.112,331,201,220,314,1,False,,[10] GAS - Alpine
9574.0,10,12.0,0 days 00:01:49.780000,1.0,,,,HARD,2.0,0 days 00:00:31.086000,0 days 00:00:49.386000,0 days 00:00:29.308000,0 days 01:16:00.862000,2024-07-28 13:24:38.840,334,197,221,315,1,False,,[10] GAS - Alpine
9574.0,10,13.0,0 days 00:01:50.048000,1.0,,,,HARD,3.0,0 days 00:00:30.969000,0 days 00:00:49.745000,0 days 00:00:29.334000,0 days 01:17:50.548000,2024-07-28 13:26:28.526,348,197,221,317,1,False,,[10] GAS - Alpine
9574.0,10,14.0,0 days 00:01:50.633000,1.0,,,,HARD,4.0,0 days 00:00:31.043000,0 days 00:00:50.253000,0 days 00:00:29.337000,0 days 01:19:40.602000,2024-07-28 13:28:18.580,347,203,218,315,1,False,,[10] GAS - Alpine
9574.0,10,15.0,0 days 00:01:50.429000,1.0,,,,HARD,5.0,0 days 00:00:31.246000,0 days 00:00:49.890000,0 days 00:00:29.293000,0 days 01:21:31.170000,2024-07-28 13:30:09.148,340,199,217,319,"1,2",False,,[10] GAS - Alpine
9574.0,10,16.0,0 days 00:01:50.113000,1.0,,,,HARD,6.0,0 days 00:00:31.077000,0 days 00:00:49.706000,0 days 00:00:29.330000,0 days 01:23:21.719000,2024-07-28 13:31:59.697,331,198,220,318,1,False,,[10] GAS - Alpine
9574.0,10,17.0,0 days 00:01:49.835000,1.0,,,,HARD,7.0,0 days 00:00:31.018000,0 days 00:00:49.658000,0 days 00:00:29.159000,0 days 01:25:11.688000,2024-07-28 13:33:49.666,334,199,218,315,1,False,,[10] GAS - Alpine
9574.0,10,18.0,0 days 00:01:50.051000,1.0,,,,HARD,8.0,0 days 00:00:31.233000,0 days 00:00:49.358000,0 days 00:00:29.460000,0 days 01:27:01.625000,2024-07-28 13:35:39.603,326,202,218,311,1,False,,[10] GAS - Alpine
9574.0,10,19.0,0 days 00:01:49.951000,1.0,,,,HARD,9.0,0 days 00:00:31.538000,0 days 00:00:49.015000,0 days 00:00:29.398000,0 days 01:28:51.608000,2024-07-28 13:37:29.586,313,201,217,312,1,False,,[10] GAS - Alpine
9574.0,10,20.0,0 days 00:01:49.883000,1.0,,,,HARD,10.0,0 days 00:00:31.552000,0 days 00:00:49.021000,0 days 00:00:29.310000,0 days 01:30:41.595000,2024-07-28 13:39:19.573,,202,218,309,1,False,,[10] GAS - Alpine
9574.0,10,21.0,0 days 00:01:50.060000,1.0,,,,HARD,11.0,0 days 00:00:31.535000,0 days 00:00:49.209000,0 days 00:00:29.316000,0 days 01:32:31.530000,2024-07-28 13:41:09.508,,201,217,311,1,False,,[10] GAS - Alpine
9574.0,10,22.0,0 days 00:01:49.953000,1.0,,,,HARD,12.0,0 days 00:00:31.486000,0 days 00:00:49.065000,0 days 00:00:29.402000,0 days 01:34:21.581000,2024-07-28 13:42:59.559,311,202,217,310,1,False,,[10] GAS - Alpine
9574.0,10,23.0,0 days 00:01:49.729000,1.0,,,,HARD,13.0,0 days 00:00:31.478000,0 days 00:00:48.971000,0 days 00:00:29.280000,0 days 01:36:11.449000,2024-07-28 13:44:49.427,313,201,215,,1,False,,[10] GAS - Alpine
9574.0,10,24.0,0 days 00:01:49.508000,1.0,,,,HARD,14.0,0 days 00:00:31.401000,0 days 00:00:48.943000,0 days 00:00:29.164000,0 days 01:38:01.285000,2024-07-28 13:46:39.263,312,202,216,313,1,False,,[10] GAS - Alpine
9574.0,10,25.0,0 days 00:01:49.287000,1.0,,,,HARD,15.0,0 days 00:00:31.454000,0 days 00:00:48.702000,0 days 00:00:29.131000,0 days 01:39:50.704000,2024-07-28 13:48:28.682,313,202,217,,1,False,,[10] GAS - Alpine
9574.0,10,26.0,0 days 00:01:49.336000,1.0,,,,HARD,16.0,0 days 00:00:31.441000,0 days 00:00:48.657000,0 days 00:00:29.238000,0 days 01:41:39.946000,2024-07-28 13:50:17.924,312,201,217,,1,False,,[10] GAS - Alpine
9574.0,10,27.0,0 days 00:01:49.392000,1.0,,,,HARD,17.0,0 days 00:00:31.460000,0 days 00:00:48.719000,0 days 00:00:29.213000,0 days 01:43:29.364000,2024-07-28 13:52:07.342,313,201,216,312,1,False,,[10] GAS - Alpine
9574.0,10,28.0,0 days 00:01:53.715000,1.0,0 days 01:47:08.463000,,,HARD,18.0,0 days 00:00:31.403000,0 days 00:00:48.692000,0 days 00:00:33.620000,0 days 01:45:18.669000,2024-07-28 13:53:56.647,,202,218,314,1,False,,[10] GAS - Alpine
9574.0,10,29.0,0 days 00:02:02.540000,2.0,,0 days 01:47:31.325000,,HARD,0.0,0 days 00:00:45.506000,0 days 00:00:48.205000,0 days 00:00:28.829000,0 days 01:47:12.490000,2024-07-28 13:55:50.468,313,207,,310,1,False,,[10] GAS - Alpine
9574.0,10,30.0,0 days 00:01:47.418000,2.0,,,,HARD,1.0,0 days 00:00:30.577000,0 days 00:00:47.872000,0 days 00:00:28.969000,0 days 01:49:14.920000,2024-07-28 13:57:52.898,339,204,223,319,1,False,,[10] GAS - Alpine
9574.0,10,31.0,0 days 00:01:48.153000,2.0,,,,HARD,2.0,0 days 00:00:31.320000,0 days 00:00:47.764000,0 days 00:00:29.069000,0 days 01:51:02.558000,2024-07-28 13:59:40.536,311,208,219,311,1,False,,[10] GAS - Alpine
9574.0,10,32.0,0 days 00:01:48.213000,2.0,,,,HARD,3.0,0 days 00:00:31.209000,0 days 00:00:47.868000,0 days 00:00:29.136000,0 days 01:52:50.558000,2024-07-28 14:01:28.536,310,205,218,313,1,False,,[10] GAS - Alpine
9574.0,10,33.0,0 days 00:01:48.011000,2.0,,,,HARD,4.0,0 days 00:00:31.236000,0 days 00:00:47.700000,0 days 00:00:29.075000,0 days 01:54:38.792000,2024-07-28 14:03:16.770,312,207,219,314,1,False,,[10] GAS - Alpine
9574.0,10,34.0,0 days 00:01:47.890000,2.0,,,,HARD,5.0,0 days 00:00:31.175000,0 days 00:00:47.647000,0 days 00:00:29.068000,0 days 01:56:26.778000,2024-07-28 14:05:04.756,314,206,218,315,1,False,,[10] GAS - Alpine
9574.0,10,35.0,0 days 00:01:47.858000,2.0,,,,HARD,6.0,0 days 00:00:31.118000,0 days 00:00:47.655000,0 days 00:00:29.085000,0 days 01:58:14.612000,2024-07-28 14:06:52.590,,208,219,314,1,False,,[10] GAS - Alpine
9574.0,10,36.0,0 days 00:01:48.241000,2.0,,,,HARD,7.0,0 days 00:00:31.140000,0 days 00:00:47.919000,0 days 00:00:29.182000,0 days 02:00:02.602000,2024-07-28 14:08:40.580,315,201,219,315,1,False,,[10] GAS - Alpine
9574.0,10,37.0,0 days 00:01:48.250000,2.0,,,,HARD,8.0,0 days 00:00:31.179000,0 days 00:00:47.973000,0 days 00:00:29.098000,0 days 02:01:50.798000,2024-07-28 14:10:28.776,,203,219,314,1,False,,[10] GAS - Alpine
9574.0,10,38.0,0 days 00:01:48.553000,2.0,,,,HARD,9.0,0 days 00:00:30.822000,0 days 00:00:48.681000,0 days 00:00:29.050000,0 days 02:03:38.949000,2024-07-28 14:12:16.927,331,202,219,317,1,False,,[10] GAS - Alpine
9574.0,10,39.0,0 days 00:01:48.667000,2.0,,,,HARD,10.0,0 days 00:00:30.722000,0 days 00:00:48.800000,0 days 00:00:29.145000,0 days 02:05:27.545000,2024-07-28 14:14:05.523,333,203,222,318,1,False,,[10] GAS - Alpine
