season,session,round,position,number,driver,team,col_5,col_6,col_7,col_8
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1716N. JeffriJEFTrident,16,1:43.891,1.670,0.259,187.535,11:39:24,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1817S. CanamasasCANTrident,15,1:43.958,1.737,0.067,187.414,11:38:32,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",193L. DelétrazDELRacing Engineering,14,1:44.016,1.795,0.058,187.309,11:36:09,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",208A. AlbonALBART Grand Prix,15,1:44.360,2.139,0.344,186.692,11:47:31,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","1
1
C. Leclerc
PREMA Racing",22,41:36.188,-,-,176.053,1:52.573,18
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","2
8
A. Albon
ART Grand Prix",22,41:37.481,1.293,-,175.962,1:51.901,4
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","3
10
N. Latifi
DAMS",22,41:39.395,3.207,1.914,175.827,1:51.875,4
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","4
7
N. Matsushita
ART Grand Prix",22,41:40.293,4.105,0.898,175.764,1:52.122,3
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","5
5
L. Ghiotto
RUSSIAN TIME",22,41:41.140,4.952,0.847,175.704,1:52.760,9
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","6
6
A. Markelov
RUSSIAN TIME",22,41:50.946,14.758,9.806,175.018,1:53.022,12
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","7
9
O. Rowland
DAMS",22,41:51.634,15.446,0.688,174.970,1:52.792,3
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","8
14
S. Sette Câmara
MP Motorsport",22,42:00.983,24.795,9.349,174.321,1:53.286,3
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","9
3
N. de Vries
Racing Engineering",22,42:05.449,29.261,4.466,174.013,1:52.348,4
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","10
19
R. Merhi
Rapax",22,42:05.877,29.689,0.428,173.984,1:52.926,17
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","11
2
A. Fuoco
PREMA Racing",22,42:06.100,29.912,0.223,173.968,1:52.529,18
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","12
12
Á. Palou
Campos Racing",22,42:07.187,30.999,1.087,173.894,1:53.365,10
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","13
11
L. Norris
Campos Racing",22,42:07.752,31.564,0.565,173.855,1:53.067,17
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","14
21
S. Gelael
Pertamina Arden",22,42:14.902,38.714,7.150,173.364,1:53.424,5
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","15
17
S. Ferrucci
Trident",22,42:15.793,39.605,0.891,173.303,1:53.597,9
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","16
16
N. Jeffri
Trident",22,42:19.498,43.310,3.705,173.051,1:53.605,13
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","17
4
G. Malja
Racing Engineering",22,42:25.847,49.659,6.349,172.619,1:53.183,3
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","DNF
20
N. Nato
Pertamina Arden",19,36:42.542,DNF,-,172.291,1:53.340,5
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","DNF
18
L. Delétraz
Rapax",18,34:21.671,DNF,-,174.365,1:53.159,3
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results","DNF
15
J. King
MP Motorsport",11,22:03.538,DNF,-,165.861,1:51.315,8
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",16A. MarkelovMARRUSSIAN TIME,31,59:34.767,6.679,-,173.273,1:53.014,9
