year	round	driverId	driverIdNorm	first_lap_position
2010	19	kovalainen	kovalainen	16
2010	19	alguersuari	alguersuari	17
2010	19	trulli	trulli	18
2010	19	glock	glock	19
2010	19	bruno_senna	bruno-senna	20
2010	19	grassi	grassi	21
2010	19	klien	klien	22
2011	1	vettel	vettel	1
2011	1	hamilton	hamilton	2
2011	1	webber	webber	3
2011	1	petrov	petrov	4
2011	1	massa	massa	5
2011	1	button	button	6
2011	1	rosberg	rosberg	7
2011	1	kobayashi	kobayashi	8
2011	1	alonso	alonso	9
2011	1	resta	resta	10
2011	1	buemi	buemi	11
2011	1	sutil	sutil	12
2011	1	heidfeld	heidfeld	13
2011	1	perez	perez	14
2011	1	kovalainen	kovalainen	15
2011	1	maldonado	maldonado	16
2011	1	trulli	trulli	17
2011	1	ambrosio	ambrosio	18
2011	1	glock	glock	19
2011	1	barrichello	barrichello	20
2011	1	alguersuari	alguersuari	21
2011	1	michael_schumacher	michael-schumacher	22
2011	2	vettel	vettel	1
2011	2	heidfeld	heidfeld	2
2011	2	hamilton	hamilton	3
2011	2	button	button	4
2011	2	petrov	petrov	5
2011	2	massa	massa	6
2011	2	alonso	alonso	7
2011	2	michael_schumacher	michael-schumacher	8
2011	2	webber	webber	9
2011	2	kobayashi	kobayashi	10
2011	2	alguersuari	alguersuari	11
2011	2	buemi	buemi	12
2011	2	rosberg	rosberg	13
2011	2	resta	resta	14
2011	2	barrichello	barrichello	15
2011	2	sutil	sutil	16
2011	2	perez	perez	17
2011	2	maldonado	maldonado	18
2011	2	kovalainen	kovalainen	19
2011	2	glock	glock	20
2011	2	trulli	trulli	21
2011	2	ambrosio	ambrosio	22
2011	2	liuzzi	liuzzi	23
2011	2	karthikeyan	karthikeyan	24
2011	3	button	button	1
2011	3	hamilton	hamilton	2
2011	3	vettel	vettel	3
2011	3	rosberg	rosberg	4
2011	3	massa	massa	5
2011	3	alonso	alonso	6
2011	3	resta	resta	7
2011	3	sutil	sutil	8
2011	3	michael_schumacher	michael-schumacher	9
2011	3	alguersuari	alguersuari	10
2011	3	kobayashi	kobayashi	11
2011	3	petrov	petrov	12
2011	3	buemi	buemi	13
2011	3	heidfeld	heidfeld	14
2011	3	barrichello	barrichello	15
2011	3	perez	perez	16
2011	3	webber	webber	17
2011	3	kovalainen	kovalainen	18
2011	3	trulli	trulli	19
2011	3	maldonado	maldonado	20
2011	3	liuzzi	liuzzi	21
2011	3	glock	glock	22
2011	3	ambrosio	ambrosio	23
2011	3	karthikeyan	karthikeyan	24
2011	4	vettel	vettel	1
2011	4	rosberg	rosberg	2
2011	4	webber	webber	3
2011	4	alonso	alonso	4
2011	4	button	button	5
2011	4	hamilton	hamilton	6
2011	4	michael_schumacher	michael-schumacher	7
2011	4	petrov	petrov	8
2011	4	heidfeld	heidfeld	9
2011	4	massa	massa	10
2011	4	barrichello	barrichello	11
2011	4	sutil	sutil	12
2011	4	resta	resta	13
2011	4	maldonado	maldonado	14
2011	4	kovalainen	kovalainen	15
2011	4	buemi	buemi	16
2011	4	trulli	trulli	17
2011	4	kobayashi	kobayashi	18
2011	4	liuzzi	liuzzi	19
2011	4	alguersuari	alguersuari	20
2011	4	karthikeyan	karthikeyan	21
2011	4	ambrosio	ambrosio	22
2011	4	perez	perez	23
2011	5	alonso	alonso	1
2011	5	vettel	vettel	2
2011	5	webber	webber	3
2011	5	hamilton	hamilton	4
2011	5	petrov	petrov	5
2011	5	michael_schumacher	michael-schumacher	6
2011	5	rosberg	rosberg	7
2011	5	massa	massa	8
2011	5	buemi	buemi	9
2011	5	button	button	10
2011	5	perez	perez	11
2011	5	alguersuari	alguersuari	12
2011	5	maldonado	maldonado	13
2011	5	resta	resta	14
2011	5	trulli	trulli	15
2011	5	kovalainen	kovalainen	16
2011	5	heidfeld	heidfeld	17
2011	5	sutil	sutil	18
2011	5	liuzzi	liuzzi	19
2011	5	barrichello	barrichello	20
2011	5	glock	glock	21
2011	5	karthikeyan	karthikeyan	22
2011	5	ambrosio	ambrosio	23
2011	5	kobayashi	kobayashi	24
2011	6	vettel	vettel	1
2011	6	button	button	2
2011	6	alonso	alonso	3
2011	6	webber	webber	4
2011	6	rosberg	rosberg	5
2011	6	massa	massa	6
2011	6	maldonado	maldonado	7
2011	6	petrov	petrov	8
2011	6	michael_schumacher	michael-schumacher	9
2011	6	hamilton	hamilton	10
2011	6	barrichello	barrichello	11
2011	6	resta	resta	12
2011	6	kobayashi	kobayashi	13
2011	6	sutil	sutil	14
2011	6	heidfeld	heidfeld	15
2011	6	buemi	buemi	16
2011	6	trulli	trulli	17
2011	6	alguersuari	alguersuari	18
2011	6	kovalainen	kovalainen	19
2011	6	glock	glock	20
2011	6	ambrosio	ambrosio	21
2011	6	karthikeyan	karthikeyan	22
2011	6	liuzzi	liuzzi	23
2011	7	vettel	vettel	1
2011	7	alonso	alonso	2
2011	7	massa	massa	3
2011	7	webber	webber	4
2011	7	hamilton	hamilton	5
2011	7	rosberg	rosberg	6
2011	7	button	button	7
2011	7	michael_schumacher	michael-schumacher	8
2011	7	heidfeld	heidfeld	9
2011	7	petrov	petrov	10
2011	7	resta	resta	11
2011	7	maldonado	maldonado	12
2011	7	kobayashi	kobayashi	13
2011	7	sutil	sutil	14
2011	7	buemi	buemi	15
2011	7	barrichello	barrichello	16
2011	7	rosa	rosa	17
2011	7	trulli	trulli	18
2011	7	kovalainen	kovalainen	19
2011	7	liuzzi	liuzzi	20
2011	7	glock	glock	21
2011	7	karthikeyan	karthikeyan	22
2011	7	ambrosio	ambrosio	23
2011	7	alguersuari	alguersuari	24
2011	8	vettel	vettel	1
2011	8	webber	webber	2
2011	8	alonso	alonso	3
2011	8	massa	massa	4
2011	8	hamilton	hamilton	5
2011	8	rosberg	rosberg	6
2011	8	button	button	7
2011	8	michael_schumacher	michael-schumacher	8
2011	8	sutil	sutil	9
2011	8	heidfeld	heidfeld	10
2011	8	resta	resta	11
2011	8	barrichello	barrichello	12
2011	8	kobayashi	kobayashi	13
2011	8	buemi	buemi	14
2011	8	petrov	petrov	15
2011	8	perez	perez	16
2011	8	alguersuari	alguersuari	17
2011	8	glock	glock	18
2011	8	kovalainen	kovalainen	19
2011	8	trulli	trulli	20
2011	8	liuzzi	liuzzi	21
2011	8	maldonado	maldonado	22
2011	8	ambrosio	ambrosio	23
2011	8	karthikeyan	karthikeyan	24
2011	9	vettel	vettel	1
2011	9	webber	webber	2
2011	9	alonso	alonso	3
2011	9	button	button	4
2011	9	massa	massa	5
2011	9	hamilton	hamilton	6
2011	9	resta	resta	7
2011	9	kobayashi	kobayashi	8
2011	9	michael_schumacher	michael-schumacher	9
2011	9	maldonado	maldonado	10
2011	9	sutil	sutil	11
2011	9	rosberg	rosberg	12
2011	9	perez	perez	13
2011	9	heidfeld	heidfeld	14
2011	9	petrov	petrov	15
2011	9	alguersuari	alguersuari	16
2011	9	buemi	buemi	17
2011	9	kovalainen	kovalainen	18
2011	9	barrichello	barrichello	19
2011	9	glock	glock	20
2011	9	liuzzi	liuzzi	21
2011	9	trulli	trulli	22
2011	9	ambrosio	ambrosio	23
2011	9	ricciardo	ricciardo	24
2011	10	hamilton	hamilton	1
2011	10	webber	webber	2
2011	10	alonso	alonso	3
2011	10	vettel	vettel	4
2011	10	rosberg	rosberg	5
2011	10	massa	massa	6
2011	10	sutil	sutil	7
2011	10	petrov	petrov	8
2011	10	michael_schumacher	michael-schumacher	9
2011	10	button	button	10
2011	10	barrichello	barrichello	11
2011	10	kobayashi	kobayashi	12
2011	10	maldonado	maldonado	13
2011	10	alguersuari	alguersuari	14
2011	10	perez	perez	15
2011	10	kovalainen	kovalainen	16
2011	10	glock	glock	17
2011	10	buemi	buemi	18
2011	10	liuzzi	liuzzi	19
2011	10	ambrosio	ambrosio	20
2011	10	ricciardo	ricciardo	21
2011	10	chandhok	chandhok	22
2011	10	heidfeld	heidfeld	23
2011	10	resta	resta	24
2011	11	vettel	vettel	1
2011	11	hamilton	hamilton	2
2011	11	button	button	3
2011	11	rosberg	rosberg	4
2011	11	alonso	alonso	5
2011	11	michael_schumacher	michael-schumacher	6
2011	11	massa	massa	7
2011	11	webber	webber	8
2011	11	resta	resta	9
2011	11	kobayashi	kobayashi	10
2011	11	barrichello	barrichello	11
2011	11	petrov	petrov	12
2011	11	maldonado	maldonado	13
2011	11	buemi	buemi	14
2011	11	alguersuari	alguersuari	15
2011	11	heidfeld	heidfeld	16
2011	11	glock	glock	17
2011	11	kovalainen	kovalainen	18
2011	11	perez	perez	19
2011	11	sutil	sutil	20
2011	11	trulli	trulli	21
2011	11	ambrosio	ambrosio	22
2011	11	ricciardo	ricciardo	23
2011	11	liuzzi	liuzzi	24
2011	12	rosberg	rosberg	1
2011	12	vettel	vettel	2
2011	12	massa	massa	3
2011	12	hamilton	hamilton	4
2011	12	alonso	alonso	5
2011	12	buemi	buemi	6
2011	12	perez	perez	7
2011	12	webber	webber	8
2011	12	kobayashi	kobayashi	9
2011	12	petrov	petrov	10
2011	12	sutil	sutil	11
2011	12	button	button	12
2011	12	resta	resta	13
2011	12	michael_schumacher	michael-schumacher	14
2011	12	barrichello	barrichello	15
2011	12	ricciardo	ricciardo	16
2011	12	maldonado	maldonado	17
2011	12	liuzzi	liuzzi	18
2011	12	ambrosio	ambrosio	19
2011	12	glock	glock	20
2011	12	trulli	trulli	21
2011	12	bruno_senna	bruno-senna	22
2011	12	kovalainen	kovalainen	23
2011	13	alonso	alonso	1
2011	13	vettel	vettel	2
2011	13	hamilton	hamilton	3
2011	13	michael_schumacher	michael-schumacher	4
2011	13	massa	massa	5
2011	13	button	button	6
2011	13	webber	webber	7
2011	13	resta	resta	8
2011	13	maldonado	maldonado	9
2011	13	perez	perez	10
2011	13	alguersuari	alguersuari	11
2011	13	kovalainen	kovalainen	12
2011	13	trulli	trulli	13
2011	13	glock	glock	14
2011	13	bruno_senna	bruno-senna	15
2011	13	buemi	buemi	16
2011	13	sutil	sutil	17
2011	13	kobayashi	kobayashi	18
2011	13	ambrosio	ambrosio	19
2011	13	barrichello	barrichello	20
2011	13	ricciardo	ricciardo	21
2011	14	vettel	vettel	1
2011	14	button	button	2
2011	14	alonso	alonso	3
2011	14	webber	webber	4
2011	14	massa	massa	5
2011	14	rosberg	rosberg	6
2011	14	michael_schumacher	michael-schumacher	7
2011	14	hamilton	hamilton	8
2011	14	sutil	sutil	9
2011	14	resta	resta	10
2011	14	perez	perez	11
2011	14	maldonado	maldonado	12
2011	14	barrichello	barrichello	13
2011	14	bruno_senna	bruno-senna	14
2011	14	buemi	buemi	15
2011	14	kobayashi	kobayashi	16
2011	14	trulli	trulli	17
2011	14	alguersuari	alguersuari	18
2011	14	petrov	petrov	19
2011	14	kovalainen	kovalainen	20
2011	14	ambrosio	ambrosio	21
2011	14	glock	glock	22
2011	14	liuzzi	liuzzi	23
2011	14	ricciardo	ricciardo	24
2011	15	vettel	vettel	1
2011	15	hamilton	hamilton	2
2011	15	button	button	3
2011	15	massa	massa	4
2011	15	alonso	alonso	5
2011	15	webber	webber	6
2011	15	michael_schumacher	michael-schumacher	7
2011	15	resta	resta	8
2011	15	sutil	sutil	9
2011	15	petrov	petrov	10
2011	15	buemi	buemi	11
2011	15	kobayashi	kobayashi	12
2011	15	bruno_senna	bruno-senna	13
2011	15	kovalainen	kovalainen	14
2011	15	maldonado	maldonado	15
2011	15	barrichello	barrichello	16
2011	15	perez	perez	17
2011	15	trulli	trulli	18
2011	15	alguersuari	alguersuari	19
2011	15	ambrosio	ambrosio	20
2011	15	rosberg	rosberg	21
2011	15	glock	glock	22
2011	15	ricciardo	ricciardo	23
2011	15	liuzzi	liuzzi	24
2011	16	vettel	vettel	1
2011	16	hamilton	hamilton	2
2011	16	webber	webber	3
2011	16	massa	massa	4
2011	16	alonso	alonso	5
2011	16	button	button	6
2011	16	rosberg	rosberg	7
2011	16	petrov	petrov	8
2011	16	resta	resta	9
2011	16	michael_schumacher	michael-schumacher	10
2011	16	sutil	sutil	11
2011	16	alguersuari	alguersuari	12
2011	16	kobayashi	kobayashi	13
2011	16	maldonado	maldonado	14
2011	16	barrichello	barrichello	15
