Year,Round,Session,Driver,CleanAirAvg,DirtyAirAvg,Delta,NumCleanLaps,NumDirtyLaps
2018,5,FP2,GAS,87.38147619047619,80.373,-7.008476190476188,21,1
2018,5,FP2,PER,93.56763157894736,79.962,-13.605631578947353,19,1
2018,5,FP2,ALO,87.14223529411765,80.035,-7.1072352941176575,17,1
2018,5,FP2,LEC,86.31363157894737,80.514,-5.79963157894737,19,1
2018,5,FP2,STR,90.95100000000001,81.556,-9.39500000000001,22,1
2018,5,FP2,MAG,86.563,79.643,-6.920000000000002,24,1
2018,5,FP2,HUL,84.82095833333334,80.183,-4.63795833333333,24,1
2018,5,FP2,HAR,86.16172222222222,81.265,-4.896722222222223,18,1
2018,5,FP2,OCO,91.15374074074073,80.024,-11.12974074074073,27,1
2018,5,FP2,VER,84.17555555555555,78.533,-5.642555555555546,27,1
2018,5,FP2,SIR,90.32817647058823,82.06,-8.26817647058823,17,1
2018,5,FP2,HAM,85.54161538461538,78.259,-7.282615384615383,26,1
2018,5,FP2,SAI,89.39031578947368,80.672,-8.718315789473678,19,1
2018,5,FP2,BOT,84.45315384615385,78.611,-5.842153846153849,26,1
2018,6,FP1,VAN,82.38224,74.291,-8.091239999999999,25,1
2018,6,FP1,RIC,83.91057692307693,72.126,-11.784576923076926,26,1
2018,6,FP1,VET,81.47500000000001,73.041,-8.434000000000012,29,1
2018,6,FP1,RAI,82.4725,73.066,-9.406499999999994,24,1
2018,6,FP1,GRO,81.1716111111111,73.943,-7.228611111111107,18,1
2018,6,FP1,ERI,83.34986666666667,75.206,-8.143866666666668,30,1
2018,6,FP1,GAS,82.63644827586207,74.24,-8.39644827586207,29,1
2018,6,FP1,PER,80.61103448275861,73.717,-6.894034482758613,29,1
2018,6,FP1,ALO,87.23928571428571,79.4405,-7.798785714285714,7,2
2018,6,FP1,LEC,82.11013333333334,74.521,-7.589133333333336,30,1
2018,6,FP1,STR,83.98195833333334,74.782,-9.199958333333342,24,1
2018,6,FP1,MAG,81.71366666666667,78.801,-2.9126666666666665,3,1
