Year	Round	Session	Driver	CleanAirAvg	DirtyAirAvg	Delta	NumCleanLaps	NumDirtyLaps
2018	4	FP1	OCO	107.16075	107.74785714285714	0.5871071428571355	4	7
2018	4	FP1	VER	105.559	108.69616666666668	3.1371666666666727	1	6
2018	4	FP1	SIR	108.29116666666664	108.33733333333332	0.0461666666666786	6	6
2018	4	FP1	HAM	107.6326	109.39775	1.7651500000000055	5	4
2018	4	FP1	SAI	112.025	110.0245	-2.0005000000000024	1	2
2018	4	FP1	BOT	107.25175	108.0755	0.8237499999999898	4	6
2018	4	FP2	VAN	109.2441	106.986	-2.258100000000013	10	6
2018	4	FP2	RIC	106.7189	104.86566666666668	-1.8532333333333355	10	9
2018	4	FP2	VET	107.25175	106.240875	-1.0108749999999986	12	8
2018	4	FP2	RAI	107.553	105.46057142857144	-2.092428571428556	8	7
2018	4	FP2	GRO	107.065	107.12375	0.0587499999999892	2	12
2018	4	FP2	GAS	109.72692857142856	106.07114285714286	-3.655785714285699	14	7
2018	4	FP2	PER	107.25958333333334	108.20225	0.9426666666666534	12	4
2018	4	FP2	ALO	107.85985714285714	106.60166666666666	-1.258190476190478	7	9
2018	4	FP2	LEC	108.13527272727272	106.03133333333334	-2.103939393939399	11	6
2018	4	FP2	STR	108.77114285714286	107.78825	-0.9828928571428576	7	4
2018	4	FP2	MAG	107.58583333333333	107.004125	-0.5817083333333244	6	8
2018	4	FP2	HUL	107.43325	107.75771428571429	0.324464285714285	8	14
2018	4	FP2	HAR	109.27845454545457	106.47366666666666	-2.8047878787878915	11	6
2018	4	FP2	OCO	107.68008333333334	105.09266666666667	-2.5874166666666696	12	3
2018	4	FP2	VER	106.92766666666668	104.4707142857143	-2.456952380952373	6	7
