Driver	LapNumber	Position	round	year
SAI	36.0	10.0	1	2018
SAI	37.0	10.0	1	2018
SAI	38.0	10.0	1	2018
SAI	39.0	10.0	1	2018
SAI	40.0	10.0	1	2018
SAI	41.0	10.0	1	2018
SAI	42.0	10.0	1	2018
SAI	43.0	10.0	1	2018
SAI	44.0	10.0	1	2018
SAI	45.0	10.0	1	2018
SAI	46.0	10.0	1	2018
SAI	47.0	10.0	1	2018
SAI	48.0	10.0	1	2018
SAI	49.0	10.0	1	2018
SAI	50.0	10.0	1	2018
SAI	51.0	10.0	1	2018
SAI	52.0	10.0	1	2018
SAI	53.0	10.0	1	2018
SAI	54.0	10.0	1	2018
SAI	55.0	10.0	1	2018
SAI	56.0	10.0	1	2018
SAI	57.0	10.0	1	2018
SAI	58.0	10.0	1	2018
RAI	1.0	2.0	1	2018
RAI	2.0	2.0	1	2018
RAI	3.0	2.0	1	2018
RAI	4.0	2.0	1	2018
RAI	5.0	2.0	1	2018
RAI	6.0	2.0	1	2018
RAI	7.0	2.0	1	2018
RAI	8.0	2.0	1	2018
RAI	9.0	2.0	1	2018
RAI	10.0	2.0	1	2018
RAI	11.0	2.0	1	2018
RAI	12.0	2.0	1	2018
RAI	13.0	2.0	1	2018
RAI	14.0	2.0	1	2018
RAI	15.0	2.0	1	2018
RAI	16.0	2.0	1	2018
RAI	17.0	2.0	1	2018
RAI	18.0	3.0	1	2018
RAI	19.0	3.0	1	2018
RAI	20.0	3.0	1	2018
RAI	21.0	3.0	1	2018
RAI	22.0	3.0	1	2018
RAI	23.0	3.0	1	2018
RAI	24.0	3.0	1	2018
RAI	25.0	3.0	1	2018
RAI	26.0	3.0	1	2018
RAI	27.0	3.0	1	2018
RAI	28.0	3.0	1	2018
RAI	29.0	3.0	1	2018
RAI	30.0	3.0	1	2018
RAI	31.0	3.0	1	2018
RAI	32.0	3.0	1	2018
RAI	33.0	3.0	1	2018
RAI	34.0	3.0	1	2018
RAI	35.0	3.0	1	2018
RAI	36.0	3.0	1	2018
RAI	37.0	3.0	1	2018
RAI	38.0	3.0	1	2018
RAI	39.0	3.0	1	2018
