date_hourly	latitude_hourly	longitude_hourly	temperature_2m	hourly_precipitation	relative_humidity_2m	short_date	wind_speed_10m	id_races	hourly_precipitation_probability	grandPrixId	circuitId
2015-05-10 03:00:00+00:00	41.58172225952149	2.207792282104492	59.2088	0.0	91.646866	2015-05-10	2.5010421	921		spain	catalunya
2015-05-10 04:00:00+00:00	41.58172225952149	2.207792282104492	58.8488	0.0	91.932915	2015-05-10	2.2481573	921		spain	catalunya
2015-05-10 05:00:00+00:00	41.58172225952149	2.207792282104492	59.0288	0.0	91.64064	2015-05-10	2.0256896	921		spain	catalunya
2015-05-10 06:00:00+00:00	41.58172225952149	2.207792282104492	61.2788	0.0	87.94991	2015-05-10	2.1222045	921		spain	catalunya
2015-05-10 07:00:00+00:00	41.58172225952149	2.207792282104492	64.2488	0.0	79.22698	2015-05-10	1.6131237	921		spain	catalunya
2015-05-10 08:00:00+00:00	41.58172225952149	2.207792282104492	67.4888	0.0	66.99976	2015-05-10	2.0256896	921		spain	catalunya
2015-05-10 09:00:00+00:00	41.58172225952149	2.207792282104492	70.728806	0.0	59.382187	2015-05-10	3.8486803	921		spain	catalunya
2015-05-10 10:00:00+00:00	41.58172225952149	2.207792282104492	73.5188	0.0	54.391098	2015-05-10	6.1710396	921		spain	catalunya
2015-05-10 11:00:00+00:00	41.58172225952149	2.207792282104492	75.8588	0.0	50.133263	2015-05-10	7.618947	921		spain	catalunya
2015-05-10 12:00:00+00:00	41.58172225952149	2.207792282104492	77.3888	0.0	47.80762	2015-05-10	8.939608	921		spain	catalunya
2015-05-10 13:00:00+00:00	41.58172225952149	2.207792282104492	78.2888	0.0	46.25728	2015-05-10	10.31206	921		spain	catalunya
2015-05-10 14:00:00+00:00	41.58172225952149	2.207792282104492	78.6488	0.0	45.56351	2015-05-10	11.13343	921		spain	catalunya
2015-05-10 15:00:00+00:00	41.58172225952149	2.207792282104492	77.9288	0.0	46.80962	2015-05-10	11.13343	921		spain	catalunya
2015-05-10 16:00:00+00:00	41.58172225952149	2.207792282104492	76.3988	0.0	49.886948	2015-05-10	10.6086645	921		spain	catalunya
2015-05-10 17:00:00+00:00	41.58172225952149	2.207792282104492	74.2388	0.0	53.963764	2015-05-10	9.105991	921		spain	catalunya
2015-05-10 18:00:00+00:00	41.58172225952149	2.207792282104492	71.718796	0.0	59.512657	2015-05-10	6.714727	921		spain	catalunya
2015-05-10 19:00:00+00:00	41.58172225952149	2.207792282104492	68.9288	0.0	66.30009	2015-05-10	3.8486803	921		spain	catalunya
2015-05-10 20:00:00+00:00	41.58172225952149	2.207792282104492	67.0388	0.0	70.98314	2015-05-10	4.440318	921		spain	catalunya
2015-05-10 21:00:00+00:00	41.58172225952149	2.207792282104492	65.0588	0.0	80.83771	2015-05-10	3.5014586	921		spain	catalunya
2015-05-10 22:00:00+00:00	41.58172225952149	2.207792282104492	63.7988	0.0	80.22394	2015-05-10	2.7029774	921		spain	catalunya
2015-05-10 23:00:00+00:00	41.58172225952149	2.207792282104492	61.908802	0.0	84.63174	2015-05-10	2.608768	921		spain	catalunya
2015-05-24 00:00:00+00:00	43.76098251342773	7.477341651916504	61.2734	0.0	81.882614	2015-05-24	2.3354967	922		monaco	monaco
2015-05-24 01:00:00+00:00	43.76098251342773	7.477341651916504	60.9134	0.0	82.6632	2015-05-24	2.6937048	922		monaco	monaco
2015-05-24 02:00:00+00:00	43.76098251342773	7.477341651916504	60.823402	0.0	83.19847	2015-05-24	1.6131237	922		monaco	monaco
2015-05-24 03:00:00+00:00	43.76098251342773	7.477341651916504	60.6434	0.0	84.00506	2015-05-24	1.2654383	922		monaco	monaco
2015-05-24 04:00:00+00:00	43.76098251342773	7.477341651916504	60.4634	0.0	85.09668	2015-05-24	1.9243401	922		monaco	monaco
2015-05-24 05:00:00+00:00	43.76098251342773	7.477341651916504	60.193398	0.0	87.04363	2015-05-24	1.7471529	922		monaco	monaco
2015-05-24 06:00:00+00:00	43.76098251342773	7.477341651916504	61.4534	0.0	86.26688	2015-05-24	0.7074015	922		monaco	monaco
2015-05-24 07:00:00+00:00	43.76098251342773	7.477341651916504	63.1634	0.0	78.62788	2015-05-24	1.5659	922		monaco	monaco
2015-05-24 08:00:00+00:00	43.76098251342773	7.477341651916504	63.6134	0.0	77.145195	2015-05-24	2.6937048	922		monaco	monaco
2015-05-24 09:00:00+00:00	43.76098251342773	7.477341651916504	63.5234	0.0	77.13744	2015-05-24	3.2028966	922		monaco	monaco
2015-05-24 10:00:00+00:00	43.76098251342773	7.477341651916504	63.7034	0.0	77.656296	2015-05-24	3.3851953	922		monaco	monaco
2015-05-24 11:00:00+00:00	43.76098251342773	7.477341651916504	64.0634	0.0	77.18386	2015-05-24	3.6415722	922		monaco	monaco
2015-05-24 12:00:00+00:00	43.76098251342773	7.477341651916504	64.4234	0.0	76.21891	2015-05-24	4.0821414	922		monaco	monaco
2015-05-24 13:00:00+00:00	43.76098251342773	7.477341651916504	65.1434	0.0	73.847885	2015-05-24	5.442856	922		monaco	monaco
2015-05-24 14:00:00+00:00	43.76098251342773	7.477341651916504	66.1334	0.0	70.88873	2015-05-24	6.0852976	922		monaco	monaco
2015-05-24 15:00:00+00:00	43.76098251342773	7.477341651916504	66.2234	0.0	70.66794	2015-05-24	5.1060476	922		monaco	monaco
2015-05-24 16:00:00+00:00	43.76098251342773	7.477341651916504	66.2234	0.0	70.66794	2015-05-24	2.9081001	922		monaco	monaco
2015-05-24 17:00:00+00:00	43.76098251342773	7.477341651916504	65.683395	0.0	72.71002	2015-05-24	2.6183414	922		monaco	monaco
2015-05-24 18:00:00+00:00	43.76098251342773	7.477341651916504	64.7834	0.0	75.267456	2015-05-24	3.1793742	922		monaco	monaco
2015-05-24 19:00:00+00:00	43.76098251342773	7.477341651916504	63.5234	0.0	75.89088	2015-05-24	2.5505724	922		monaco	monaco
2015-05-24 20:00:00+00:00	43.76098251342773	7.477341651916504	62.9834	0.0	78.869514	2015-05-24	2.6937048	922		monaco	monaco
